filename,width,height,class,xmin,ymin,xmax,ymax
0.png,200,200,rect,95,45,57,132
1.png,200,200,rect,155,58,83,192
2.png,200,200,rect,55,93,127,58
3.png,200,200,rect,134,155,186,162
4.png,200,200,rect,158,109,139,165
5.png,200,200,rect,162,57,107,179
6.png,200,200,rect,96,69,136,146
7.png,200,200,rect,126,119,190,162
8.png,200,200,rect,140,111,161,182
9.png,200,200,rect,161,107,153,199
10.png,200,200,rect,138,20,32,167
11.png,200,200,rect,83,64,104,98
12.png,200,200,rect,36,79,154,78
13.png,200,200,rect,64,15,27,92
14.png,200,200,rect,145,60,68,147
15.png,200,200,rect,149,85,147,152
16.png,200,200,rect,9,133,199,65
17.png,200,200,rect,104,69,141,161
18.png,200,200,rect,31,22,92,98
19.png,200,200,rect,56,73,118,114
20.png,200,200,rect,41,139,199,114
21.png,200,200,rect,10,3,32,67
22.png,200,200,rect,27,75,83,98
23.png,200,200,rect,136,69,81,177
24.png,200,200,rect,73,87,130,107
25.png,200,200,rect,152,144,158,155
26.png,200,200,rect,2,150,151,58
27.png,200,200,rect,23,176,177,81
28.png,200,200,rect,114,89,162,183
29.png,200,200,rect,96,174,190,163
30.png,200,200,rect,80,128,177,111
31.png,200,200,rect,24,15,79,50
32.png,200,200,rect,45,110,120,76
33.png,200,200,rect,66,141,183,83
34.png,200,200,rect,31,29,104,47
35.png,200,200,rect,86,92,149,92
36.png,200,200,rect,21,62,99,44
37.png,200,200,rect,113,101,136,144
38.png,200,200,rect,62,70,90,121
39.png,200,200,rect,13,105,151,36
40.png,200,200,rect,99,97,121,103
41.png,200,200,rect,78,97,143,85
42.png,200,200,rect,35,51,55,81
43.png,200,200,rect,91,8,18,163
44.png,200,200,rect,122,120,142,163
45.png,200,200,rect,128,122,163,145
46.png,200,200,rect,105,101,105,145
47.png,200,200,rect,134,64,67,171
48.png,200,200,rect,50,106,107,70
49.png,200,200,rect,117,164,188,192
50.png,200,200,rect,99,83,127,166
51.png,200,200,rect,82,8,11,96
52.png,200,200,rect,40,30,99,102
53.png,200,200,rect,23,106,107,95
54.png,200,200,rect,97,8,31,139
55.png,200,200,rect,143,165,166,180
56.png,200,200,rect,95,127,178,166
57.png,200,200,rect,135,44,47,152
58.png,200,200,rect,102,82,135,137
59.png,200,200,rect,1,62,113,74
60.png,200,200,rect,20,31,72,59
61.png,200,200,rect,29,139,152,56
62.png,200,200,rect,75,16,81,154
63.png,200,200,rect,105,17,61,160
64.png,200,200,rect,94,64,74,121
65.png,200,200,rect,66,37,50,130
66.png,200,200,rect,27,145,154,105
67.png,200,200,rect,58,118,157,117
68.png,200,200,rect,4,143,184,27
69.png,200,200,rect,20,8,85,98
70.png,200,200,rect,26,112,145,50
71.png,200,200,rect,102,131,188,168
72.png,200,200,rect,58,9,35,110
73.png,200,200,rect,117,125,160,127
74.png,200,200,rect,13,40,83,34
75.png,200,200,rect,180,21,42,189
76.png,200,200,rect,56,173,176,83
77.png,200,200,rect,75,170,179,107
78.png,200,200,rect,22,154,161,78
79.png,200,200,rect,35,72,91,53
80.png,200,200,rect,11,94,101,56
81.png,200,200,rect,27,71,89,71
82.png,200,200,rect,8,23,25,28
83.png,200,200,rect,174,73,139,183
84.png,200,200,rect,57,146,188,129
85.png,200,200,rect,85,22,32,154
